section,key,context,source,description,notes,placeholders,screenshot,references,translation,status,previous_source,source_hash
strings,Formula.Proportion.Steps,Công thức toán học — nội dung hướng dẫn và minh họa.,"Bước 1: Xác định đại lượng cần tìm.
Bước 2: Xét từng đại lượng còn lại thay đổi cùng chiều (thuận) hay ngược chiều (nghịch) với đại lượng cần tìm.
Bước 3: Viết công thức dạng y = kx, xy = k hoặc ghép nhiều tỉ số để lập công thức tỉ lệ kép.
Bước 4: Thế số, tính kết quả rồi kiểm tra xem chiều biến thiên có hợp lý không.",,,,,Views/ProportionFormulaView.xaml:588,,untranslated,,e64430ee8d26cdafe688172690d6c8ef3dd996ae2177e94243e6d1106b615447
strings,Formula.Proportion.Direct.ExampleTitle,Công thức toán học — nội dung hướng dẫn và minh họa.,Ví dụ tỉ lệ thuận,,,,,Views/ProportionFormulaView.xaml:610,,untranslated,,5116551e80395e3ebb14c2b2f15406bd53a7c1f7fae50deaf2b140d39633a833
strings,Formula.Proportion.Direct.Example,Công thức toán học — nội dung hướng dẫn và minh họa.,"3 kg gạo giá 54.000 đồng. 5 kg giá bao nhiêu?
k = 54.000 ÷ 3 = 18.000 (đồng/kg)
Giá 5 kg: 18.000 × 5 = 90.000 đồng.",,,,,Views/ProportionFormulaView.xaml:657,,untranslated,,b3c5fb087883ef840f48b5589c915c536957dfb43ec6bbe8154c3e1395c073d3
strings,Formula.Proportion.Inverse.ExampleTitle,Công thức toán học — nội dung hướng dẫn và minh họa.,Ví dụ tỉ lệ nghịch,,,,,Views/ProportionFormulaView.xaml:672,,untranslated,,48f95f4ab17bb5c4b21715042ac436a43a5ac44fdbee4ba9f0be373259e51411
strings,Formula.Proportion.Inverse.Example,Công thức toán học — nội dung hướng dẫn và minh họa.,"6 người làm xong việc trong 8 ngày. 12 người làm trong bao lâu (năng suất như nhau)?
k = 6 × 8 = 48 (người-ngày)
Thời gian: 48 ÷ 12 = 4 ngày.",,,,,Views/ProportionFormulaView.xaml:697,,untranslated,,d1ad67456e2cb39116c3036f7065ed38c046dd0840530bd6a5345872c8159aea
strings,Formula.Motion.Title,Công thức toán học — nội dung hướng dẫn và minh họa.,TOÁN CHUYỂN ĐỘNG,,,,,Views/MotionFormulaView.xaml:33,,untranslated,,5a5d36e84329852cfb3eec22e5a0963a18944a1a12ee72957caf59f2c8474120
strings,Formula.Motion.Subtitle,Công thức toán học — nội dung hướng dẫn và minh họa.,Quãng đường • Vận tốc • Thời gian • Gặp nhau • Đuổi kịp,,,,,Views/MotionFormulaView.xaml:40,,untranslated,,3aba18dbe3c8fd9e4f60f4941b70984a0fecccf583f57a0e59edea947394d121
strings,Formula.Motion.Relationship,Công thức toán học — nội dung hướng dẫn và minh họa.,"Trong chuyển động đều, quãng đường d bằng vận tốc v nhân thời gian t. Khi giữ v không đổi, d tỉ lệ thuận với t; khi giữ d không đổi, v và t tỉ lệ nghịch.",,,,,Views/MotionFormulaView.xaml:64,,untranslated,,2ce57fabc0dfed903926b05d570cf29f8a28b57b73ec7a7f9a435abaf169a39d
strings,Formula.Motion.Symbols,Công thức toán học — nội dung hướng dẫn và minh họa.,"Trong tab này ưu tiên dùng d cho quãng đường để đồng bộ với phần minh họa tương tác. Khi gặp sách giáo khoa dùng s, có thể hiểu s và d cùng biểu diễn quãng đường.",,,,,Views/MotionFormulaView.xaml:143,,untranslated,,033850b7b06914d3f53564078eca2b2b32b46b5edd28e3d2c10bf9100f779c7c
strings,Formula.Motion.Graph.Title,Công thức toán học — nội dung hướng dẫn và minh họa.,MINH HỌA TƯƠNG TÁC,,,,,Views/MotionFormulaView.xaml:163,,untranslated,,4d66bdc48e775f3b0f0962947f0dec737fca4c2cd4c612af8b028ce6351fcf7d
strings,Formula.Motion.Graph.Subtitle,Công thức toán học — nội dung hướng dẫn và minh họa.,"Kéo thanh trượt để thay đổi quãng đường và thời gian, từ đó thấy ngay vận tốc trung bình và mô hình chia quãng đường theo từng giây.",,,,,Views/MotionFormulaView.xaml:168,,untranslated,,db4f2bb0ee7df819e309080154d70d763e9f650ca949bdd44c21a6973719928c
strings,Formula.Motion.Graph.SpeedSentence,Công thức toán học — nội dung hướng dẫn và minh họa.,Vận tốc trung bình: cứ 1 giây đi được khoảng {0} m.,,,{0}: Cần bổ sung ý nghĩa và ví dụ cho biến này.,,Views/MotionFormulaView.xaml.cs:233,,untranslated,,e1e37cef5a1600370b266eb10b59760738e5361424407913cf15c2eb81504029
strings,Formula.Motion.Graph.VisualTitle,Công thức toán học — nội dung hướng dẫn và minh họa.,Mô hình tốc độ trung bình,,,,,Graphics/MotionAverageSpeedDrawable.cs:75,,untranslated,,dcb0788976c2adf32b70ee3055c31ad62da7fb6b26c251365675cbf3b788582e
strings,Formula.Motion.Graph.VisualSubtitle,Công thức toán học — nội dung hướng dẫn và minh họa.,mỗi 1 s,,,,,Graphics/MotionAverageSpeedDrawable.cs:84,,untranslated,,d36ea76269a63881d73c04024d02dbc9fd6709262034a4423a22b8d9ddac8e91
strings,Formula.Motion.Graph.FirstSegment,Công thức toán học — nội dung hướng dẫn và minh họa.,≈ {0} m,,,{0}: Cần bổ sung ý nghĩa và ví dụ cho biến này.,,Graphics/MotionAverageSpeedDrawable.cs:128,,untranslated,,5b65ed5de5df9a571c0bd650e6271c2a1241139c02605c74465d0c16237e6aed
strings,Formula.Motion.Graph.TotalDistance,Công thức toán học — nội dung hướng dẫn và minh họa.,tổng d = {0} m,,,{0}: Cần bổ sung ý nghĩa và ví dụ cho biến này.,,Graphics/MotionAverageSpeedDrawable.cs:143,,untranslated,,e04ec819a0df44b13358a710c44a31f68f7a5b8a1f34f1fd3651e8a1f3e9bc3f
strings,Formula.Motion.Graph.TimeSegments,Công thức toán học — nội dung hướng dẫn và minh họa.,{0} giây = {1} đoạn bằng nhau,,,"{0}: Cần bổ sung ý nghĩa và ví dụ cho biến này.
{1}: Cần bổ sung ý nghĩa và ví dụ cho biến này.",,Graphics/MotionAverageSpeedDrawable.cs:159,,untranslated,,4d66084cd77f66fc3a2ab676caaabda8dbf4caadf91ebba550b440bbd9f186f7
strings,Formula.Motion.MeetingFormula,Công thức toán học — nội dung hướng dẫn và minh họa.,"Đi ngược chiều – gặp nhau:
v tương đối = v₁ + v₂
t gặp = khoảng cách ban đầu ÷ (v₁ + v₂)
d gặp từ A = v₁ × t gặp",,,,,Views/MotionFormulaView.xaml:430,,untranslated,,498655c5e746d71e007a8dd3be4da9dba6d10cd48458a65961d9e30275715ac2
strings,Formula.Motion.ChasingFormula,Công thức toán học — nội dung hướng dẫn và minh họa.,"Đi cùng chiều – đuổi kịp:
v tương đối = v nhanh − v chậm
t đuổi = khoảng cách ban đầu ÷ (v nhanh − v chậm)",,,,,Views/MotionFormulaView.xaml:449,,untranslated,,759cc43ac19378cf982ceeebcecacfab05670e62f89bc17c02a31b50f6266018
strings,Formula.Motion.AverageFormula,Công thức toán học — nội dung hướng dẫn và minh họa.,"Vận tốc trung bình:
v tb = tổng quãng đường ÷ tổng thời gian
Nếu có thời gian nghỉ thì thời gian thực đi = thời gian đến − thời gian xuất phát − thời gian nghỉ.",,,,,Views/MotionFormulaView.xaml:468,,untranslated,,c029565558c495be6fdad11ba978d84fb2ea97b546470ec9516dce8b7920bfd7
strings,Formula.Motion.UnitConversion,Công thức toán học — nội dung hướng dẫn và minh họa.,"Đổi đơn vị:
1 giờ = 60 phút = 3.600 giây
1 km = 1.000 m
1 m/s = 3,6 km/h",,,,,Views/MotionFormulaView.xaml:487,,untranslated,,4210149f3d372ddbb56e8443936c6e9811c9b376f22668dbf6bde43480bdd620
strings,Formula.Motion.Properties,Công thức toán học — nội dung hướng dẫn và minh họa.,"• Cùng vận tốc: quãng đường d tỉ lệ thuận với thời gian t.
• Cùng thời gian: quãng đường d tỉ lệ thuận với vận tốc v.
• Cùng quãng đường: vận tốc v tỉ lệ nghịch với thời gian t.
• Vận tốc tương đối là tổng khi tiến lại gần nhau và là hiệu khi chuyển động cùng chiều.
• Xuôi dòng nhanh hơn, ngược dòng chậm hơn do ảnh hưởng của dòng nước.",,,,,Views/MotionFormulaView.xaml:516,,untranslated,,c2dab4b2bea04b3e58339d8056cbb558973ccdbf572dba2e507b9983e194f379
strings,Formula.Motion.UnitWarning,Công thức toán học — nội dung hướng dẫn và minh họa.,Luôn đổi đơn vị trước khi thay số: km đi với km/h và giờ; m đi với m/s và giây.,,,,,Views/MotionFormulaView.xaml:530,,untranslated,,d5f7c4e58ebc44d548026f19af3ac661aa9d26346bcda0c88b7055f6264b1724
strings,Formula.Motion.Steps,Công thức toán học — nội dung hướng dẫn và minh họa.,"Bước 1: Tóm tắt d, v, t và đổi về cùng hệ đơn vị.
Bước 2: Xác định kiểu chuyển động: một vật, gặp nhau, đuổi kịp hay xuôi/ngược dòng.
Bước 3: Chọn d = v × t, v = d ÷ t, t = d ÷ v hoặc công thức vận tốc tương đối phù hợp.
Bước 4: Nếu có nghỉ hoặc xuất phát lệch nhau thì điều chỉnh thời gian trước khi tính.
Bước 5: Ghi đơn vị, đối chiếu kết quả với thực tế đề bài.",,,,,Views/MotionFormulaView.xaml:556,,untranslated,,08d56fccaf642267f78b76d0c0f4f3aae1fa7871607824540be57ff2e4dc4538
strings,Formula.Motion.MeetingExampleTitle,Công thức toán học — nội dung hướng dẫn và minh họa.,Ví dụ gặp nhau,,,,,Views/MotionFormulaView.xaml:576,,untranslated,,de7de3378928cb09c0e1abcfcf84138207bd263dec28dddd95b99197213a9b2b
strings,Formula.Motion.MeetingExample,Công thức toán học — nội dung hướng dẫn và minh họa.,"Hai xe cách nhau 180 km, đi ngược chiều với vận tốc 50 km/h và 40 km/h.
v tương đối = 50 + 40 = 90 km/h
t gặp = 180 ÷ 90 = 2 giờ.",,,,,Views/MotionFormulaView.xaml:581,,untranslated,,676749a9d5d58a58f9577e007f0f6ccf147992928770da9025bd7d57a07f4228
strings,Formula.Motion.ChasingExampleTitle,Công thức toán học — nội dung hướng dẫn và minh họa.,Ví dụ đuổi kịp,,,,,Views/MotionFormulaView.xaml:600,,untranslated,,0f9e38b06868701a681024fde65f6abd36a0a9b5cacc1143877da8474ffe2e51
strings,Formula.Motion.ChasingExample,Công thức toán học — nội dung hướng dẫn và minh họa.,"Xe chậm đi trước 30 km. Xe nhanh chạy 60 km/h, xe chậm chạy 45 km/h.
v tương đối = 60 − 45 = 15 km/h
t đuổi = 30 ÷ 15 = 2 giờ.",,,,,Views/MotionFormulaView.xaml:605,,untranslated,,90a166464e1fb76ff8c2c1c562bc176bc355533efeb496da7600fdb4d4e2341e
strings,Tabs.MathPuzzle,Tên các mục điều hướng chính của ứng dụng.,Toán đố,,,,,"AppShell.xaml:122
AppShell.xaml.cs:1244
Services/Localization/LocalizationKeys.cs:14",,untranslated,,108c49c160b04de19c628a9435c1804fe7135d7cf0fb84395e36e7fde15d88e4
strings,Geometry.Properties.Square,"Hình học — đại lượng, công thức và kết quả.","Bốn cạnh bằng nhau; bốn góc vuông; hai đường chéo bằng nhau, vuông góc và cắt nhau tại trung điểm.",,,,,Models/GeometryFormulaItem.cs:83,,untranslated,,389ff8c931bc96f419bd5054b731ba4f2af97566fbd93ea8cb6e0f70c945a40c
strings,Geometry.Properties.Rectangle,"Hình học — đại lượng, công thức và kết quả.",Các cạnh đối song song và bằng nhau; bốn góc vuông; hai đường chéo bằng nhau và cắt nhau tại trung điểm.,,,,,Models/GeometryFormulaItem.cs:104,,untranslated,,344ec98af240f6894fc19cf2cd61b58ab734c1d6ac666ac9d7321790f7cfddc9
strings,Geometry.Properties.Triangle,"Hình học — đại lượng, công thức và kết quả.",Tổng ba góc bằng 180°; tổng độ dài hai cạnh bất kỳ luôn lớn hơn cạnh còn lại.,,,,,Models/GeometryFormulaItem.cs:126,,untranslated,,bceaf60aa551fcf38887d2e842d47380b1d9b79c507bead8506742c70f079534
strings,Geometry.Properties.RightTriangle,"Hình học — đại lượng, công thức và kết quả.",Có một góc vuông; hai góc nhọn phụ nhau; cạnh huyền đối diện góc vuông và là cạnh dài nhất.,,,,,Models/GeometryFormulaItem.cs:149,,untranslated,,86389f26fe72e5836893a1ee8e277847906916f766090dd6c33a51b43a6608ff
strings,Geometry.Properties.EquilateralTriangle,"Hình học — đại lượng, công thức và kết quả.","Ba đường cao đồng thời là ba trung tuyến, ba đường phân giác và ba đường trung trực.",,,,,Models/GeometryFormulaItem.cs:172,,untranslated,,b1cd3643ad92a05920793469173604ece1afdb461b3533d0dc0b6b940c069170
strings,Geometry.Properties.Circle,"Hình học — đại lượng, công thức và kết quả.",Mọi điểm trên đường tròn cách tâm một khoảng bằng bán kính; đường kính đi qua tâm và dài gấp đôi bán kính.,,,,,Models/GeometryFormulaItem.cs:195,,untranslated,,923a53c44552ab38ea68ddc0190173b0ddf8eb14007ec345f32c2c5a4339453d
strings,Geometry.Properties.Trapezoid,"Hình học — đại lượng, công thức và kết quả.",Có một cặp cạnh đối song song gọi là hai đáy; chiều cao là khoảng cách vuông góc giữa hai đáy.,,,,,Models/GeometryFormulaItem.cs:217,,untranslated,,5492a2d550fe66b05908319479e7c59fd236abbd0bb7fb45e0e8afa824976ce5
strings,Geometry.Properties.IsoscelesTrapezoid,"Hình học — đại lượng, công thức và kết quả.",Hai cạnh bên bằng nhau; hai góc kề mỗi đáy bằng nhau; hai đường chéo bằng nhau.,,,,,Models/GeometryFormulaItem.cs:239,,untranslated,,a1f7564e4cf9c82e97830cb20fb29e2c8b5f59973484fadbb96d58b7c9e8e250
strings,Geometry.Properties.RightTrapezoid,"Hình học — đại lượng, công thức và kết quả.",Có hai góc vuông; một cạnh bên vuông góc với hai đáy và chính là chiều cao.,,,,,Models/GeometryFormulaItem.cs:261,,untranslated,,909942658575baef951dd8c8f70038845b0cc9d856b38acae109f9ec00f21a20
